"","days","dates","Iran"
"1",38,2020-02-28,386.748356907234
"2",39,2020-02-29,526.131824165476
"3",40,2020-03-01,715.748862162815
"4",41,2020-03-02,973.703566591783
"5",42,2020-03-03,1324.62471924669
"6",43,2020-03-04,1802.01727408788
"7",44,2020-03-05,2451.46131498878
"8",45,2020-03-06,3334.96391255649
"9",46,2020-03-07,4536.87938294264
"10",47,2020-03-08,6171.96319812394
"11",48,2020-03-09,8396.328512108
"12",49,2020-03-10,11422.3514010367
"13",50,2020-03-11,15538.9479271349
"14",51,2020-03-12,21139.159022922
"15",52,2020-03-13,28757.6769220038
"16",53,2020-03-14,39121.8960533669
"17",54,2020-03-15,53221.3625934218
"18",55,2020-03-16,72402.2535215728
