Province,Country,Population
,Afghanistan,3893
,Algeria,4385
,Andorra,8
,Argentina,4519
,Armenia,296
,Australia,2550
New South Wales,Australia,809
Victoria,Australia,659
Queensland,Australia,510
South Australia,Australia,175
Western Australia,Australia,259
Tasmania,Australia,52
Northern Territory,Australia,24
,Austria,900
,Azerbaijan,1014
,Bahrain,170
,Belarus,945
,Belgium,1159
,Brazil,21256
,Cambodia,1672
,Canada,3774
Ontario,Canada,1457
British Columbia,Canada,511
Quebec,Canada,845
,Chile,1912
,Croatia,411
,Czech Republic,1071
,Denmark,579
,Dominican Republic,1085
,Ecuador,1764
,Egypt,10233
,Estonia,133
,Faroe Islands,5
,Finland,554
,France,6527
,Georgia,399
,Germany,8378
,Gibraltar,3
,Greece,1042
Hong Kong,Hong Kong,745
,Hungary,966
,Iceland,34
,India,138000
,Indonesia,27352
,Iran,8399
,Iraq,4022
,Ireland,494
,Israel,866
,Italy,6046
,Japan,12648
,Jordan,1020
,Kuwait,427
,Latvia,187
,Lebanon,683
,Liechtenstein,4
,Lithuania,272
,Luxembourg,63
Macau,Macau,66
,Mainland China,143932
Anhui,Mainland China,6324
Beijing,Mainland China,2154
Chongqing,Mainland China,3102
Fujian,Mainland China,3941
Gansu,Mainland China,2637
Guangdong,Mainland China,11346
Guangxi,Mainland China,4926
Guizhou,Mainland China,3600
Hainan,Mainland China,934
Hebei,Mainland China,7556
Heilongjiang,Mainland China,3773
Henan,Mainland China,9605
Hubei,Mainland China,5917
Hunan,Mainland China,6899
Inner Mongolia,Mainland China,2534
Jiangsu,Mainland China,8051
Jiangxi,Mainland China,4648
Jilin,Mainland China,2704
Liaoning,Mainland China,4359
Ningxia,Mainland China,688
Qinghai,Mainland China,603
Shaanxi,Mainland China,3864
Shandong,Mainland China,10047
Shanghai,Mainland China,2424
Shanxi,Mainland China,3718
Sichuan,Mainland China,8341
Tianjin,Mainland China,1560
Tibet,Mainland China,2487
Xinjiang,Mainland China,344
Yunnan,Mainland China,4830
Zhejiang,Mainland China,5737
,Malaysia,3237
,Mexico,12893
,Monaco,4
,Morocco,3691
,Nepal,2914
,Netherlands,1713
,New Zealand,482
,Nigeria,20614
,North Macedonia,208
,Norway,542
,Oman,511
,Pakistan,22089
,Philippines,10958
,Poland,3785
,Portugal,1020
,Qatar,288
,Romania,1924
,Russia,14593
,Saint Barthelemy,1
,San Marino,3
,Saudi Arabia,3481
,Senegal,1674
,Singapore,585
,South Korea,5127
,Spain,4675
,Sri Lanka,2141
,Sweden,1001
,Switzerland,865
Taiwan,Taiwan,2359
,Thailand,6980
,Tunisia,1181
,UK,6789
,Ukraine,4373
,United Arab Emirates,989
,USA,33100
"King County, WA",US,3
"Cook County, IL",US,520
"Tempe, AZ",US,19
"Orange, CA",US,14
"Los Angeles, CA",US,1900
"Santa Clara, CA",US,193
"Boston, MA",US,487
"San Benito, CA",US,6
"Madison, WI",US,26
"San Diego County, CA",US,323
"San Antonio, TX",US,153
"Humboldt County, CA",US,13
"Sacramento County, CA",US,51
"Snohomish County, WA",US,80
"Providence, RI",US,18
"Grafton County, NH",US,9
"Hillsborough, FL",US,140
"New York City, NY",US,1945
"Placer County, CA",US,38
"San Mateo, CA",US,9
"Sarasota, FL",US,43
"Sonoma County, CA",US,1
"Umatilla, OR",US,0.5
"Fulton County, GA",US,104
"Washington County, OR",US,59
"Norfolk County, MA",US,90
"Berkeley, CA",US,12
"Maricopa County, AZ",US,5
"Wake County, NC",US,107
"Westchester County, NY",US,97
"Contra Costa County, CA",US,115
,Vietnam,9734
