,Unnamed: 0,days,dates,Japan,Germany,France,India,UK,South Korea,Taiwan,Mainland China,Iran,Washington,California,US,Total Risk
0,1,49,2020-03-10,0.002813723428060098,0.005667835300594638,0.0,1.1119338850587839e-05,0.0,0.07944253777397678,0.0010200889327725872,0.0,0.013368457066438928,0.35797141931449755,0.010851807329523101,0.012018334927246622,0.4064225020314407
1,2,50,2020-03-11,0.003007330000933414,0.0075030591220116944,0.009575210087569013,1.260329841404362e-05,0.0,0.0793594066596089,0.0010952178910125824,0.0,0.014920786345493278,0.4279302815520953,0.014333115550557222,0.01585529936085258,0.4869870998147658
2,3,51,2020-03-12,0.0032142582473891224,0.00993252153648443,0.0,1.4285303564162635e-05,0.0,0.0792763625361955,0.0007981027994370177,0.0,0.01665337024769777,0.5191564915637232,0.017692829117296027,0.020804544549293754,0.5851260903980049
3,4,52,2020-03-13,0.0034354248046281305,0.013148634772622708,0.0,1.6191784976930047e-05,0.0,0.07919340531270644,0.001262482937369701,0.0,0.018587139724755314,0.6206159811023348,0.021250872649675612,0.029676145572944852,0.7004538191592201
4,5,53,2020-03-14,0.0036718093817884275,0.017406113417299997,0.018165408031225523,1.8352700701219246e-05,0.0,0.0791105348982069,0.0009199915147703251,0.0,0.02074545620549919,0.7529189432186578,0.02769366360474625,0.04216521565290881,0.8577872390136857
5,6,54,2020-03-15,0.003924459099796522,0.02304214768568539,0.0,2.080200691328564e-05,0.0,0.07902775120185736,0.00145529321628961,0.0,0.02315439381999646,0.9067199922491355,0.03173979943343363,0.0473186515073887,1.0184346549475924
6,7,55,2020-03-16,0.004194493129835119,0.030503108720481724,0.027838322050330544,2.3578191496995124e-05,0.0,0.0789450541329132,0.0015624747175891106,0.0,0.02584305439517757,1.091938450677966,0.036671435299642785,0.07121828248009773,1.2420556897921624
7,8,56,2020-03-17,0.004483107650974432,0.040379900966937644,0.0,2.6724878834354953e-05,0.0,0.07886244360072497,0.0016775500742932982,0.0,0.02884391902738267,1.3149920485500712,0.05206465893646107,0.09429119401915909,1.4999163130554782
8,9,57,2020-03-18,0.004791581148927887,0.05345476151435176,0.04266197452024066,3.0291515309898704e-05,0.0,0.07877991951473783,0.001801100664274237,0.0,0.03219324047909199,1.5719828098354764,0.06876723387876825,0.12168889204312679,1.8158671530966048
9,10,58,2020-03-19,0.005121280079404467,0.0707632128889025,0.0,3.4334146300797615e-05,0.0,0.07869748178449198,0.0013124908696443365,0.0,0.03593148114029685,1.9070982249554107,0.08488642358282493,0.15662791931505896,2.196577638080555
10,11,59,2020-03-20,0.005473664921144741,0.09367607592853526,0.0,3.891629686215632e-05,0.0,0.07861513031962196,0.0020761702998014064,0.0,0.040103801845421415,2.279805136162783,0.10195715819589142,0.2196573110357188,2.6564155452972398
11,12,60,2020-03-21,0.00585029664545403,0.12400803811926496,0.08093526590962476,4.410996994639987e-05,0.0,0.0785328650298569,0.0015129385138582048,0.0,0.04476060745108316,2.7658141687155586,0.13286829617399407,0.3074394027559448,3.2900328980552693
12,13,61,2020-03-22,0.006252843630890839,0.1641613759517516,0.0,4.999677784255864e-05,0.0,0.0784506858250209,0.0023932494164696713,0.0,0.04995815576569095,3.330795465046525,0.15228079360730953,0.3404247474611345,3.8988175829568856
13,14,62,2020-03-23,0.006683089053741139,0.21731621403810988,0.12403255648033279,5.666922461465403e-05,0.0,0.07836859261503164,0.0025695108478912864,0.0,0.05575923718722079,4.011187214044311,0.175941731511584,0.506267183653338,4.814592596570968
