,Unnamed: 0,days,dates,Japan,South Korea,Germany,Taiwan,France,India,UK,Hong Kong,Mainland China,US,Iran,Total Risk
0,1,38,2020-02-28,0.0011232857004455886,0.03001622077184334,0.000172288108041454,0.0010732033950151597,0.0,2.4453914762997506e-09,0.0,0.011541821541681612,0.0399770705380219,0.020485554255959458,0.01647548000424817,0.12086492676064817
1,2,39,2020-02-29,0.0012265688408575116,0.033803878673633436,0.00024991944159940746,0.0010899815751958138,0.00033745310577398553,7.279044749866302e-09,0.0,0.013811979494918619,0.03751574120597971,0.026578278018034245,0.022413215709449277,0.13702702334448674
2,3,40,2020-03-01,0.001339348592050746,0.038069489895731466,0.00036253069349586855,0.0007513669471322889,0.0,2.166707988642003e-08,0.0,0.011271607493566755,0.03456283162219475,0.034373501247262996,0.030490901528135914,0.15122159968665067
3,4,41,2020-03-02,0.001462498142194947,0.04287336595050616,0.000525883472232069,0.0011243289533699396,0.0,6.449504941058766e-08,0.0,0.013488617114178031,0.03155314469384602,0.043984915147528496,0.04147977193680996,0.17649258990571504
4,5,42,2020-03-03,0.001596970966795647,0.04828342888125013,0.0007628414126816716,0.0007750439388062573,0.0009432487804027744,1.919784031941097e-07,0.0,0.01100771962468931,0.03769598320666572,0.05733738422231597,0.056429013039909,0.21483182605191967
5,6,43,2020-03-04,0.0017438082109018276,0.054376171612511834,0.0011065702795948922,0.0011597586823051055,0.0,5.714501753201249e-07,0.0,0.013172825207265385,0.027130049094135765,0.07313870608017423,0.07676593587614369,0.24859439649320805
6,7,44,2020-03-05,0.0019041467500878885,0.06123773948418819,0.0016051800063897265,0.0011778900451280083,0.0018716937961909348,1.7010002033573538e-06,0.0,0.010750009828227906,0.029134908878029293,0.09347477057584463,0.10443225201852203,0.30559029238281193
7,8,45,2020-03-06,0.0020792279926214775,0.06896514826119982,0.002328458391144038,0.0011963048689181228,0.0,5.063261534920118e-06,0.0,0.01062342637413182,0.02356344167382165,0.12279963794432505,0.14206946267490647,0.37363017144260335
8,9,46,2020-03-07,0.0022704074909673895,0.0776676558401917,0.003377638930030818,0.0012150075852298027,0.0037140123999987967,1.5071495770783218e-05,0.0,0.012712945414672232,0.022112675287613327,0.15932216805160374,0.19327106171335642,0.47567864420943495
9,10,47,2020-03-08,0.0024791654370436536,0.08746830704784073,0.004899569940802948,0.0008375522677002029,0.0,4.486238429560388e-05,0.0,0.010374713548774261,0.020372159741847903,0.20605024669101937,0.2629256322400799,0.5954522092994046
10,11,48,2020-03-09,0.0027071181224886717,0.09850567337267603,0.007107268154503714,0.0012532947691272186,0.0,0.0001335390697310903,0.0,0.01241531332674262,0.018598178271015568,0.26366539013983736,0.3576835946158008,0.7620693698419231
11,12,49,2020-03-10,0.002956030452669446,0.11093581222850316,0.010309733554235954,0.0008639451216107146,0.010381405910206608,0.00039749744523481594,0.0,0.010131823521760574,0.02221891423441898,0.3437061031007605,0.4865921696841634,0.9984934352535642
12,13,50,2020-03-11,0.0032278296113196986,0.12493447345146932,0.014955198488182202,0.001292788454505462,0.0,0.0011832059283202981,0.0,0.012124649321887062,0.015991099918879082,0.4384263424920027,0.6619591816959468,1.2740947693625126
13,14,51,2020-03-12,0.003524619981605228,0.14069958422845116,0.021693864409234227,0.0013129995698689689,0.020599881432739945,0.003521975513541471,0.0,0.009894619971288661,0.017172812234118214,0.5603298714899674,0.9005281743764771,1.6792784032072925
14,15,52,2020-03-13,0.003848699439141623,0.15845404759118847,0.03146890717486173,0.0013335266605050099,0.0,0.010483645510122631,0.0,0.009778108898931784,0.013888856187886867,0.7361163330433438,1.2250770368773618,2.1904491613833437
15,16,53,2020-03-14,0.004202577143111737,0.17844889404408976,0.045648488443512936,0.0013543746662880518,0.04087645919188394,0.031206015703215385,0.0,0.011701362659559032,0.013033739775811334,0.9550488265432361,1.66659277187343,2.9481135100441382
16,17,54,2020-03-15,0.004588992963229236,0.20096683088662004,0.06621725011290254,0.0009336234496434968,0.0,0.09288900651295827,0.0,0.009549186420885635,0.012007838277951155,1.2351579740457888,2.2672300464797686,3.889540749149748
17,18,55,2020-03-16,0.005010938692959889,0.22632623941414065,0.09605409427610083,0.001397053570143921,0.0,0.27649692972740814,0.0,0.011427413477336737,0.010962211163311895,1.5805290910399474,3.084336000019001,5.292539971380351
